1. open,2. high,3. low,4. close,5. volume
471.8700,474.9300,471.3500,473.8800,65931439
468.4300,474.7500,468.3000,474.6000,74879074
467.4900,470.4400,466.4300,467.9200,85553758
468.3000,470.9600,467.0500,467.2800,84232169
470.4300,471.1900,468.1700,468.7900,103585866
472.1600,473.6700,470.4900,472.6500,123007793
476.4900,477.0300,473.3000,475.3100,122283149
476.8800,477.5500,476.2600,476.6900,77158116
475.4400,476.6600,474.8900,476.5100,63874396
474.0700,476.5800,473.9900,475.6500,55386952
473.8600,475.3800,471.7000,473.6500,67160419
471.3300,472.9750,468.8400,472.7000,86667465
473.9600,475.8950,467.8200,468.2600,102920959
472.5300,474.9200,472.4500,474.8400,52024922
470.9800,472.9800,469.8929,471.9700,70375285
469.4900,470.7000,467.4263,469.3300,141553673
472.5000,473.7300,469.2500,472.0100,119026049
464.4900,470.7599,464.1200,470.5000,93277960
461.6300,464.2000,460.6000,464.1000,68327617
459.6900,462.1700,459.4700,461.9900,65002247
457.4600,460.7450,457.2100,460.2000,83194404
456.9100,458.9000,456.2900,458.2300,66995446
458.8100,458.8400,454.3100,454.7600,67701116
455.2600,457.5900,454.8700,456.6000,69793469
455.6000,459.1206,454.3400,456.6900,72430888
455.7700,459.6500,455.1600,459.1000,89183400
455.4800,456.7600,453.3400,456.4000,79752700
457.1500,458.3200,454.2000,454.6100,63145992
454.0800,456.2700,453.5000,454.9300,62115011
454.6500,455.4901,454.0799,454.4800,50505985
455.0700,455.5000,454.7300,455.3000,29737375
454.9800,456.3800,453.8895,455.0200,59446573
453.1842,454.1310,451.9599,453.2700,49244639
450.5300,455.1250,450.5200,454.2600,70055633
450.2400,451.4200,449.2900,450.7900,83193902
449.2200,450.5600,448.1200,450.2300,66665797
450.1100,451.3800,448.8000,449.6800,77327573
446.3200,450.0600,446.0900,448.7300,97176935
439.2300,441.3300,438.4200,440.1900,52236068
435.9800,440.9300,433.8335,440.6100,89558054
438.4300,438.4700,433.4000,433.8400,83174417
437.5500,438.0900,434.8700,437.2500,61746027
435.6900,437.5850,434.5100,436.9300,64256114
435.4700,436.1498,433.6800,435.6900,67831660
433.1400,436.2900,433.0100,434.6900,100167775
426.5800,430.9150,426.5600,430.7600,94938909
419.2000,423.5000,418.6499,422.6600,98068115
416.1800,418.5300,414.2100,418.2000,79665150
413.5600,416.6800,412.2200,415.5900,86562675
414.1900,414.6000,409.2100,410.6800,107367671
416.4500,417.3250,411.6000,412.5500,115156761
421.8900,421.9200,417.0150,417.5500,94223198
422.6500,424.8200,420.7400,423.6300,78564239
419.6100,424.4500,417.8000,420.4600,92035095
425.9800,426.5400,421.0800,421.1900,123919874
430.9500,432.8200,425.7250,426.4300,121322957
434.1900,435.1800,429.0900,430.2100,93559798
432.8100,438.1400,432.4500,436.0200,75324708
433.8200,437.1400,433.5700,436.0400,75433194
435.2100,436.4500,429.8800,431.5000,95201132
436.9500,437.3350,431.2300,433.6600,81154230
435.6400,436.5800,433.1800,436.3200,62451736
432.9400,437.2200,432.5300,434.5400,78607268
427.5800,432.8800,427.0101,432.2900,80374362
421.9700,431.1250,420.6000,429.5400,113273309
424.3600,425.3700,421.1701,424.5000,70142744
422.0700,425.4299,420.5600,424.6600,87452968
425.0600,427.3729,420.1800,421.5900,103760607
426.6200,428.6000,424.4600,427.3100,83798599
431.6700,431.8500,425.9100,427.4800,115111319
425.4800,430.2499,424.8700,428.5200,92258308
427.0900,427.6700,422.2900,426.0500,104705847
429.0900,429.8200,425.0200,425.8800,96168436
429.1700,432.2700,428.7200,432.2300,70874534
432.4500,434.1000,429.9900,430.4200,100829684
435.7000,435.9700,431.2300,431.3900,104095826
444.0100,444.4350,438.4300,438.6400,82562602
442.6800,443.2900,439.9400,442.7100,66514648
443.0500,444.9700,442.5600,443.6300,55752213
447.1400,447.4800,442.9200,443.3700,111848859
449.0700,451.0800,447.7150,450.3600,83430814
446.2200,447.7100,445.0793,446.5100,60199272
446.9500,448.5300,445.3900,445.9900,67565422
448.2400,448.7700,446.4699,448.4500,60180118
444.9000,447.1100,444.5300,445.5200,62068437
443.1100,445.5500,442.7500,444.8500,70355426
448.4000,448.5100,443.8100,446.2200,70758512
450.7300,451.0600,449.1700,449.2400,55166210
453.1700,453.6700,449.6800,451.1900,58944098
